Name,Ranking,Height,Plays,Age,Birthplace,Current Ranking,Singles Titles YTD,Prize Money YTD,YTD Singles Wins,YTD Singles Losses,Career High,Career Singles Titles,Career Prize Money,Career Singles Wins,Career Singles Losses,Instagram
Katerina Siniakova,48,1.74m,Right-Handed,26,"Hradec Kralove, Czech Republic",48,0,"$626,910.00",8,7,31,3,"$9,837,420.00",315,227,No link available
Aliaksandra Sasnovich,49,1.74m,Right-Handed,29,"Minsk, Belarus",49,0,"$243,273.00",5,8,29,0,"$5,000,250.00",369,248,No link available
Sloane Stephens,50,1.70m,Right-Handed,30,"Plantation, FL, USA",50,0,"$140,953.00",4,7,3,7,"$17,364,713.00",340,249,https://www.instagram.com/sloanestephens/
Leylah Fernandez,51,1.68m,Left-Handed,20,"Montreal, Quebec",51,0,"$286,637.00",10,7,13,2,"$3,519,008.00",137,87,No link available
Karolina Muchova,52,1.80m,Right-Handed,26,"Olomouc, Czech Republic",52,0,"$434,163.00",15,5,19,1,"$4,139,270.00",256,129,https://www.instagram.com/karolinamuchova/
Claire Liu,53,1.70m,Right-Handed,22,"Thousand Oaks, CA, USA",53,0,"$249,438.00",9,10,52,0,"$1,577,997.00",196,135,No link available
Linda Noskova,54,1.79m,Right-Handed,18,"Vsetin, Czech Republic",54,0,"$187,476.00",13,6,50,0,"$462,277.00",98,42,No link available
Xiyu Wang,55,1.82m,Left-Handed,22,"Taixing, Jiang Su Province, China",55,0,"$161,066.00",3,7,49,0,"$1,120,961.00",162,109,No link available
Alycia Parks,56,1.85m,Right-Handed,22,"Atlanta, Georgia",56,1,"$157,534.00",7,6,50,1,"$549,154.00",142,137,No link available
Lauren Davis,57,1.57m,Right-Handed,29,"Gates Mills, OH, USA",57,1,"$169,568.00",12,5,26,2,"$4,362,219.00",353,261,No link available
Ana Bogdan,58,1.71m,Right-Handed,30,"Sinaia, Romania",58,0,"$154,985.00",5,7,46,0,"$2,369,858.00",389,244,No link available
Kaia Kanepi,59,1.81m,Right-Handed,37,"Haapsalu, Estonia",59,0,"$149,576.00",3,7,15,4,"$8,120,370.00",572,336,https://www.instagram.com/kaiakanepi/
Linda Fruhvirtova,60,1.72m,Right-Handed,17,"Prague, Czech Republic",60,0,"$340,775.00",6,6,50,1,"$747,995.00",68,42,No link available
Xinyu Wang,61,1.82m,Right-Handed,21,"Shenzhen, Guangdong Province, China",61,0,"$249,782.00",14,10,61,0,"$1,172,710.00",177,116,https://www.instagram.com/wangxinyu926/
Mayar Sherif,62,1.80m,Right-Handed,26,"Cairo, Egypt",62,0,"$147,746.00",4,8,44,1,"$1,155,929.00",207,105,No link available
Anna Blinkova,63,1.79m,Right-Handed,24,"Moscow, Russia",63,0,"$170,886.00",9,8,54,1,"$2,351,215.00",248,174,No link available
Alizé Cornet,64,1.73m,Right-Handed,33,"Nice, France",64,0,"$182,903.00",1,6,11,6,"$9,821,144.00",509,422,No link available
Jule Niemeier,65,1.78m,Right-Handed,23,"Dortmund, Germany",65,0,"$147,176.00",2,10,61,0,"$1,199,987.00",159,98,No link available
Tatjana Maria,66,1.72m,Right-Handed,35,"Bad Saulgau, Germany",66,0,"$164,596.00",13,10,46,2,"$4,502,639.00",609,476,https://www.instagram.com/tatjanamaria87
Jasmine Paolini,67,1.63m,Right-Handed,27,"Castelnuovo di Garfagnana, Italy",67,0,"$150,448.00",5,8,44,1,"$1,957,302.00",309,229,https://www.instagram.com/jasmine_paolini/
Emma Raducanu,68,1.75m,Right-Handed,20,"Toronto, Canada",68,0,"$230,393.00",5,4,10,1,"$3,769,301.00",98,48,No link available
Anett Kontaveit,69,1.74m,Right-Handed,27,"Tallinn, Estonia",69,0,"$135,353.00",2,4,2,6,"$7,940,128.00",388,200,https://www.instagram.com/anett_kontaveit/
Anna Kalinskaya,70,1.75m,Right-Handed,24,"Moscow, Russia",70,0,"$232,394.00",8,9,51,0,"$2,051,127.00",240,150,https://www.instagram.com/annakalinskaya78
Caty Mcnally,71,1.81m,Right-Handed,21,"Cincinnati, OH, USA",71,0,"$211,344.00",5,6,71,0,"$1,965,855.00",132,97,https://www.instagram.com/catymcnally/
Rebecca Peterson,72,1.73m,Right-Handed,27,"Stockholm, Sweden",72,0,"$149,692.00",15,5,43,2,"$2,723,353.00",333,197,No link available
Danka Kovinic,73,1.69m,Right-Handed,28,"Cetinje, Montenegro",73,0,"$147,243.00",5,7,46,0,"$2,888,141.00",361,287,https://www.instagram.com/dankakovinic/
Alison Riske-Amritraj,74,1.75m,Right-Handed,32,"Pittsburgh, PA, USA",74,0,"$126,553.00",1,7,18,3,"$6,664,806.00",414,339,https://www.instagram.com/riske4rewards/
Katie Volynets,75,1.70m,Right-Handed,21,"Walnut Creek, CA, USA",75,0,"$205,387.00",10,6,74,0,"$826,027.00",134,96,No link available
Maryna Zanevska,76,1.75m,Right-Handed,29,"Odessa, Ukraine",76,0,"$131,408.00",6,7,62,1,"$1,698,554.00",447,267,No link available
Lesia Tsurenko,77,1.74m,Right-Handed,33,"Vladimirec, Ukraine",77,0,"$172,267.00",20,5,23,4,"$5,429,229.00",479,309,No link available
Sara Errani,78,1.64m,Right-Handed,35,"Bologna, Italy",78,0,"$60,992.00",13,8,5,9,"$13,927,563.00",635,462,No link available
Lucia Bronzetti,79,1.70m,Right-Handed,No data available,"Rimini, Italy",79,0,"$330,907.00",8,12,50,0,"$1,020,008.00",254,179,No link available
Nuria Parrizas Diaz,80,1.70m,Right-Handed,No data available,"Granada, Spain",80,0,"$253,069.00",9,8,45,0,"$1,332,958.00",452,291,No link available
Cristina Bucsa,81,1.76m,Right-Handed,25,"Chisináu, Moldova",81,0,"$233,057.00",8,6,81,0,"$992,226.00",280,174,No link available
Rebecca Marino,82,1.83m,Right-Handed,32,"Toronto, Canada",82,0,"$169,471.00",9,9,38,0,"$1,487,342.00",301,188,No link available
Marketa Vondrousova,83,1.72m,Left-Handed,23,"Sokolov, CZE",83,0,"$445,041.00",13,6,14,1,"$5,231,834.00",233,98,https://www.instagram.com/marketavondrousova/
Kateryna Baindl,84,1.75m,Right-Handed,29,"Nikolayev, Ukraine",84,0,"$165,712.00",3,6,62,0,"$2,380,198.00",377,265,https://www.instagram.com/kateryna_kozlova
Ysaline Bonaventure,85,1.78m,Left-Handed,28,"Rocourt, Belgium",85,0,"$138,309.00",12,11,84,0,"$1,310,000.00",358,256,https://www.instagram.com/ysaline_bonaventure/
Anna Bondar,86,1.75m,Right-Handed,25,"Szeghalom, Hungary",86,0,"$205,368.00",3,8,50,0,"$1,101,776.00",323,172,No link available
Dalma Galfi,87,1.78m,Right-Handed,24,"Balatonfured, Hungary",87,0,"$155,303.00",7,10,79,0,"$1,112,512.00",258,175,No link available
Viktoriya Tomova,88,1.70m,Right-Handed,28,"Sofia, Bulgaria",88,0,"$162,926.00",12,9,87,0,"$1,405,917.00",421,299,https://www.instagram.com/viktoriyatomova
Julia Grabher,89,1.70m,Right-Handed,26,"Dornbirn, Austria",89,0,"$131,708.00",5,11,82,0,"$619,613.00",318,202,No link available
Kamilla Rakhimova,90,1.70m,Right-Handed,21,"Yekaterinburg, Russia",90,0,"$118,600.00",10,9,89,0,"$965,835.00",156,98,No link available
Rebeka Masarova,91,1.86m,Right-Handed,23,"Basel, Switzerland",91,0,"$91,591.00",16,7,90,0,"$510,734.00",183,90,No link available
Madison Brengle,92,1.68m,Right-Handed,33,"Dover, Delaware, USA",92,0,"$171,987.00",6,10,35,0,"$4,543,883.00",566,426,https://www.instagram.com/mbrengle
Anna-Lena Friedsam,93,1.74m,Right-Handed,29,"Neuwied, Germany",93,0,"$67,839.00",10,6,45,0,"$2,170,872.00",324,213,https://www.instagram.com/friedi_and_friends
Panna Udvardy,94,1.70m,Right-Handed,24,"Balatonboglar, Hungary",94,0,"$96,583.00",3,5,76,0,"$743,160.00",219,149,No link available
Diana Shnaider,95,-,Left-Handed,No data available,No data available,95,0,"$134,057.00",4,5,0,0,"$207,933.00",73,27,No link available
Anna Karolina Schmiedlova,96,1.76m,Right-Handed,28,"Kosice, Slovakia",96,0,"$156,917.00",8,8,26,3,"$3,639,837.00",375,268,https://www.instagram.com/akschmiedlova/
Alison Van Uytvanck,97,1.73m,Right-Handed,29,"Vilvoorde, Belgium",97,0,"$180,656.00",5,4,37,5,"$4,253,618.00",367,257,No link available
Magdalena Frech,98,1.71m,Right-Handed,25,"Lodz, Poland",98,0,"$130,547.00",7,11,82,0,"$1,354,760.00",339,235,https://www.instagram.com/magdalenafrech/
Oceane Dodin,99,1.83m,Right-Handed,26,"Lille, France",99,0,"$41,987.00",27,5,46,1,"$2,023,689.00",369,234,No link available
Camila Osorio,100,1.70m,Right-Handed,21,"Cúcuta, Colombia",100,0,"$143,073.00",4,4,33,1,"$1,270,181.00",142,81,https://www.instagram.com/_camilaosorio_
